product,rating,rating count,price,product_url
"Kids Boxing Glove 6oz 8oz, Youth, Boys and Girls Training Sparring Gloves for Punching Bag, Kickboxing, Muay Thai, MMA, UFC, Gift for Age 6-15 Years  ",4.6 out of 5 stars,179  ,24.99,https://amazon.ca/Boxing-Training-Sparring-Punching-Kickboxing/dp/B0972DTRZR/ref=sr_1_9?keywords=boxing+glove&qid=1656174741&sr=8-9
Everlast Women's Pro Style Training Gloves  ,4.7 out of 5 stars,"9,318  ",44.99,https://amazon.ca/Everlast-Elite-Style-Training-Gloves/dp/B07962NQ83/ref=sr_1_10?keywords=boxing+glove&qid=1656174741&sr=8-10
Hayabusa S4 Kids Epic Boxing Gloves for Boys and Girls  ,4.7 out of 5 stars,32  ,69.0,https://amazon.ca/Hayabusa-Kids-Boxing-Gloves-Girls/dp/B09479HTQH/ref=sr_1_11?keywords=boxing+glove&qid=1656174741&sr=8-11
"RDX Boxing Gloves EGO, Sparring Muay Thai Kickboxing Heavy Training, Maya Hide Leather, Ventilated Palm, Long Wrist Support, Punching Bag Pads Workout, MMA Gym Fitness, Men Women 8 10 12 14 16oz  ",4.7 out of 5 stars,"1,472  ",59.99,https://amazon.ca/RDX-Training-Fighting-Kickboxing-Grappling/dp/B08GSSGRLS/ref=sr_1_12?keywords=boxing+glove&qid=1656174741&sr=8-12
ZTTY Boxing Gloves Kickboxing Muay Thai MMA Pro Grade Sparring Training Gloves for Men & Women  ,4.6 out of 5 stars,663  ,39.99,https://amazon.ca/ZTTY-Kickboxing-Punching-Sparring-Training/dp/B07TS1YP86/ref=sr_1_13?keywords=boxing+glove&qid=1656174741&sr=8-13
Hayabusa Marvel Hero Elite Boxing Gloves for Men and Women  ,4.9 out of 5 stars,304  ,299.0,https://amazon.ca/Hayabusa-Marvel-Elite-Boxing-Gloves/dp/B08L9GY59B/ref=sr_1_14?keywords=boxing+glove&qid=1656174741&sr=8-14
"RDX Women Boxing Gloves Sparring Muay Thai, Premium Maya Hide Leather, KARA Patent Pending, Kickboxing MMA Fight Training, Punch Bag, Focus Mitts Pads Double end Ball Punching Workout, Ventilated Palm  ",4.6 out of 5 stars,137  ,53.99,https://amazon.ca/RDX-Sparring-Kickboxing-Training-Ventilated/dp/B097TS9RCW/ref=sr_1_15?keywords=boxing+glove&qid=1656174741&sr=8-15
"RDX Women Boxing Gloves for Training Muay Thai Flora Skin Ladies Mitts for Sparring, Fighting Kickboxing Good for Punch Bag, Focus Pads and Double End Ball Punching  ",4.4 out of 5 stars,30  ,69.99,https://amazon.ca/RDX-Boxing-Sparring-Punching-Training/dp/B07GJMMQNH/ref=sr_1_16?keywords=boxing+glove&qid=1656174741&sr=8-16
FitTrek Boxing Gloves for Kid - Fight Gloves Boxing - Punching Bag Mitts - Kickboxing Gloves for Women Men - Muay Thai and Heavy Bag Gel Sparring Training Gloves  ,4.4 out of 5 stars,23  ,34.99,https://amazon.ca/FitTrek-Boxing-Gloves-Kid-Kickboxing/dp/B085XV9XDS/ref=sr_1_17?keywords=boxing+glove&qid=1656174741&sr=8-17
Everlast Pro Style Elite Training Gloves - Blue 16 oz  ,4.6 out of 5 stars,15  ,29.99,https://amazon.ca/Everlast-Style-Elite-Training-Gloves/dp/B0963Z5W3R/ref=sr_1_18?keywords=boxing+glove&qid=1656174741&sr=8-18
Everlast Mixed Martial Arts Heavy Bag Gloves  ,4.4 out of 5 stars,"2,960  ",33.7,https://amazon.ca/Everlast-Mixed-Martial-Heavy-Gloves/dp/B000JF4HP0/ref=sr_1_19?keywords=boxing+glove&qid=1656174741&sr=8-19
"RDX Boxing Pads and Gloves Set, Maya Hide Leather Kara Hook and Jab Curved Focus Mitts with Punching Gloves for MMA, Muay Thai, Kickboxing Coaching, Martial Arts, Punching Hand Target Strike Shield  ",4.7 out of 5 stars,450  ,89.99,https://amazon.ca/RDX-Leather-Punching-Kickboxing-Coaching/dp/B08N6VG9LY/ref=sr_1_20?keywords=boxing+glove&qid=1656174741&sr=8-20
Hawk Sports Black Leather Boxing Gloves Gel Everlast Fight Punch Bag Title venum RDX MMA Muay Thai Kick UFC  ,4.6 out of 5 stars,"1,161  ",31.25,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A013338833W1RQN7YGM34&url=%2FHawk-Sports-Leather-Boxing-Gloves%2Fdp%2FB01N07JMRN%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dboxing%2Bglove%26qid%3D1656174741%26sr%3D8-23-spons%26psc%3D1&qualifier=1656174741&id=8567664167886956&widgetName=sp_mtf
Hayabusa S4 Boxing Gloves for Men and Women  ,4.4 out of 5 stars,"4,395  ",79.0,https://amazon.ca/Hayabusa-Boxing-Gloves-Training-Women/dp/B07L37G3MK/ref=sr_1_25?keywords=boxing+glove&qid=1656174741&sr=8-25
Venum Challenger 2.0 Boxing Gloves  ,4.5 out of 5 stars,"3,527  ",64.99,https://amazon.ca/Venum-Challenger-2-0-Boxing-Gloves/dp/B06Y665Z5W/ref=sr_1_26?keywords=boxing+glove&qid=1656174741&sr=8-26
"RDX Boxing Gloves Sparring Muay Thai Training, Maya Hide Leather, Kickboxing Heavy Punching Bag Focus Mitts Pads Double End Ball Workout, MMA Fitness Gym Bagwork, Ventilated Palm, Men Black  ",4.7 out of 5 stars,326  ,59.99,https://amazon.ca/RDX-Training-Sparring-Kickboxing-Fighting/dp/B07J2MNNS3/ref=sr_1_27?keywords=boxing+glove&qid=1656174741&sr=8-27
"YMX BOXING Pro Style Training Gloves for Men & Women - Sparring Gloves, Heavy Bag Gloves, Punching Bag Gloves for Boxing, Kickboxing, Muay Thai, MMA  ",4.7 out of 5 stars,57  ,35.99,https://amazon.ca/YMX-BOXING-Style-Training-Gloves/dp/B09KT8PMN7/ref=sr_1_28?keywords=boxing+glove&qid=1656174741&sr=8-28
"RDX Women Boxing Gloves for Training Muay Thai Maya Hide Leather Ladies Mitts for Fighting, Kickboxing, Sparring EGO Glove for Punch Bag, Focus Pads and Double End Ball Punching  ",4.8 out of 5 stars,9  ,57.99,https://amazon.ca/RDX-Leather-Sparring-Punching-Training/dp/B073P71BGW/ref=sr_1_29?keywords=boxing+glove&qid=1656174741&sr=8-29
Everlast Laceless Boxing Gloves 7 oz - Red  ,4.1 out of 5 stars,"1,071  ",13.78,https://amazon.ca/Everlast-Laceless-Boxing-Gloves-Red/dp/B00005RCQG/ref=sr_1_30?keywords=boxing+glove&qid=1656174741&sr=8-30
"Boxing Gloves Training Gloves with Hand Wrap Heavy Bag Boxing Gloves for Adults Boxing Practice Premium Hide Leather for Sparring Muay Thai,Fight Training,Punch Bag  ",4.5 out of 5 stars,2  ,16.99,https://amazon.ca/Training-Practice-Premium-Leather-Sparring/dp/B095SM26BW/ref=sr_1_31?keywords=boxing+glove&qid=1656174741&sr=8-31
Hayabusa Pro Horse Hair Lace Up Boxing Gloves for Men and Women  ,4.9 out of 5 stars,12  ,149.0,https://amazon.ca/Hayabusa-Horse-Boxing-Gloves-Women/dp/B08N1LNFLR/ref=sr_1_32?keywords=boxing+glove&qid=1656174741&sr=8-32
Everlast Pro Style Elite Training Gloves - Red 14 oz  ,4.4 out of 5 stars,13  ,29.99,https://amazon.ca/Everlast-Style-Elite-Training-Gloves/dp/B0963Z3N1Q/ref=sr_1_33?keywords=boxing+glove&qid=1656174741&sr=8-33
"RDX Kids Boxing Gloves for Training, Muay Thai - Maya Hide Leather Junior 4oz, 6oz Mitts for Sparring, Fighting, Kickboxing – Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching  ",4.7 out of 5 stars,58  ,35.99,https://amazon.ca/RDX-Boxing-Gloves-Leather-Training/dp/B01931CXZ6/ref=sr_1_34?keywords=boxing+glove&qid=1656174741&sr=8-34
"Cleto Reyes Hook and Loop Training Gloves, RETG1  ",4.5 out of 5 stars,647  ,233.99,https://amazon.ca/Cleto-Reyes-Hook-Training-Gloves/dp/B01BKZDMCQ/ref=sr_1_35?keywords=boxing+glove&qid=1656174741&sr=8-35
"RDX Kids Boxing Gloves Sparring and Muay Thai Maya Hide Leather, Kara Patent Pending Junior Training Mitt for Kickboxing, Punch Bag, Focus Pads, MMA, Thai Pad, Double End Ball Punching Fight Gloves  ",4.7 out of 5 stars,364  ,36.99,https://amazon.ca/RDX-Sparring-Training-Kickboxing-Punching/dp/B08MWRJTV2/ref=sr_1_36?keywords=boxing+glove&qid=1656174741&sr=8-36
"FILA Accessories Boxing Gloves for Men & Women - Kickboxing, Heavy Bag Punching Mitts, MMA, Muay Thai, Sparring Pro Training Equipment (10, 12, 14, 16, 18 oz)  ",4.4 out of 5 stars,120  ,49.93,https://amazon.ca/FILA-Accessories-Boxing-Gloves-Women/dp/B08H4GDF5T/ref=sr_1_37?keywords=boxing+glove&qid=1656174741&sr=8-37
"adidas Unisex Youth Kids Boxing Kit 2 Pads Set Children, Blue-Red, 8  ",4.6 out of 5 stars,219  ,64.99,https://amazon.ca/ADIDAS-Kids-Boxing-MITT-Gloves/dp/B07V7V7BX9/ref=sr_1_38?keywords=boxing+glove&qid=1656174741&sr=8-38
Hayabusa T3 Boxing Gloves for Men and Women  ,4.7 out of 5 stars,"3,016  ",199.0,https://amazon.ca/Hayabusa-14oz-Boxing-Gloves-Black/dp/B075GDNXNR/ref=sr_1_39?keywords=boxing+glove&qid=1656174741&sr=8-39
"RDX MMA Fight Gloves for Grappling and Martial Arts, Open Palm Maya Hide Leather Sparring Mitts, Good for Cage Fighting, Kickboxing, Punch Bag, Muay Thai Training and Combat Sports  ",5.0 out of 5 stars,1  ,59.99,https://amazon.ca/RDX-Grappling-Sparring-Fighting-Kickboxing/dp/B08K97LQ5W/ref=sr_1_40?keywords=boxing+glove&qid=1656174741&sr=8-40
Contender Fight Sports International Boxing Gloves  ,3.9 out of 5 stars,5  ,17.99,https://amazon.ca/Contender-Fight-Sports-International-14/dp/B007YJZY7O/ref=sr_1_41?keywords=boxing+glove&qid=1656174741&sr=8-41
Venum Elite Boxing Gloves  ,4.5 out of 5 stars,"5,781  ",105.0,https://amazon.ca/Venum-Elite-Boxing-Gloves-12-Ounce/dp/B010HWJRRM/ref=sr_1_42?keywords=boxing+glove&qid=1656174741&sr=8-42
"adidas Boxing Kit Performance Boxing Set, Black, One Size  ",4.3 out of 5 stars,61  ,49.99,https://amazon.ca/ADIDAS-BOXING-GLOVES-HANDWRAPS-SKIPPING/dp/B01G8BVTD6/ref=sr_1_43?keywords=boxing+glove&qid=1656174741&sr=8-43
"RDX Boxing Gloves for Training Muay Thai, Maya Hide Leather Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching  ",4.4 out of 5 stars,30  ,73.99,https://amazon.ca/RDX-Training-Sparring-Kickboxing-Fighting/dp/B08DP5HSR6/ref=sr_1_44?keywords=boxing+glove&qid=1656174741&sr=8-44
